step,epoch,block,train_loss,val_loss
00000,000,00000,10.6106,10.5996
00100,000,102400,7.7437,7.7080
00200,000,204800,7.1442,7.1157
00300,000,307200,6.4507,6.4147
00400,000,409600,6.0290,6.0440
00500,000,512000,5.6889,5.6798
00600,000,614400,5.4728,5.4215
00700,000,716800,5.2716,5.2618
00800,000,819200,5.0568,5.0967
00900,000,921600,4.9467,4.9708
01000,000,1024000,4.8567,4.8403
01100,000,1126400,4.7558,4.7585
01200,000,1228800,4.6731,4.6690
01300,000,1331200,4.5795,4.6177
01400,000,1433600,4.5504,4.5346
01500,000,1536000,4.4788,4.4320
01600,000,1638400,4.4188,4.4291
01700,000,1740800,4.3529,4.3644
01800,000,1843200,4.3295,4.3436
01900,000,1945600,4.2916,4.3021
02000,000,2048000,4.2256,4.2540
02100,000,2150400,4.2115,4.2159
02200,000,2252800,4.1887,4.2145
02300,000,2355200,4.1693,4.1588
02400,000,2457600,4.1040,4.1236
02500,000,2560000,4.1214,4.0864
02600,000,2662400,4.0567,4.0778
02700,000,2764800,4.0629,4.0470
02800,000,2867200,4.0218,4.0493
02900,000,2969600,4.0081,4.0320
03000,000,3072000,4.0192,4.0024
03100,000,3174400,3.9953,4.0030
03200,000,3276800,3.9526,3.9731
03300,000,3379200,3.9787,3.9412
03400,000,3481600,3.9242,3.9494
03500,000,3584000,3.9146,3.9108
03600,000,3686400,3.9003,3.8963
03700,000,3788800,3.9046,3.9060
03800,000,3891200,3.8581,3.8707
03900,000,3993600,3.8652,3.8726
04000,000,4096000,3.8376,3.8301
04100,000,4198400,3.8358,3.8595
04200,000,4300800,3.8215,3.8254
04300,000,4403200,3.8184,3.8380
04400,000,4505600,3.8093,3.8173
04500,000,4608000,3.8002,3.7781
04600,000,4710400,3.7696,3.7992
04700,000,4812800,3.7671,3.8223
04800,000,4915200,3.7564,3.7563
04900,000,5017600,3.7438,3.7722
05000,000,5120000,3.7313,3.7613
05100,000,5222400,3.7105,3.7431
05200,000,5324800,3.7590,3.7408
05300,000,5427200,3.7014,3.7307
05400,000,5529600,3.7377,3.7278
05500,000,5632000,3.7000,3.7125
05600,000,5734400,3.6980,3.6979
05700,000,5836800,3.6787,3.6996
05800,000,5939200,3.7159,3.7018
05900,000,6041600,3.7185,3.6728
06000,000,6144000,3.6728,3.7017
06100,000,6246400,3.6886,3.6803
06200,000,6348800,3.6469,3.6694
06300,000,6451200,3.6474,3.6624
06400,000,6553600,3.6580,3.6630
06500,000,6656000,3.6624,3.6208
06600,000,6758400,3.6365,3.6629
06700,000,6860800,3.6601,3.6181
06800,000,6963200,3.6147,3.6057
06900,000,7065600,3.6123,3.6354
07000,000,7168000,3.6313,3.6298
07100,000,7270400,3.5603,3.6041
07200,000,7372800,3.5616,3.5505
07300,000,7475200,3.5722,3.5469
07400,000,7577600,3.5353,3.5788
07500,000,7680000,3.5440,3.5409
07600,000,7782400,3.5314,3.5346
07700,000,7884800,3.5363,3.5464
07800,000,7987200,3.5387,3.5060
07900,000,8089600,3.5091,3.5207
08000,000,8192000,3.5118,3.5316
08100,000,8294400,3.5025,3.5363
08200,000,8396800,3.5270,3.5232
08300,000,8499200,3.4924,3.5362
08400,000,8601600,3.5145,3.5178
08500,000,8704000,3.5222,3.5517
08600,000,8806400,3.5079,3.5249
08700,000,8908800,3.4919,3.5072
08800,000,9011200,3.5043,3.5319
08900,000,9113600,3.4859,3.4887
09000,000,9216000,3.4659,3.4962
09100,000,9318400,3.5078,3.5177
09200,000,9420800,3.4916,3.4954
09300,000,9523200,3.4750,3.5226
09400,000,9625600,3.5024,3.5051
09500,000,9728000,3.4964,3.4871
09600,000,9830400,3.4427,3.5040
09700,000,9932800,3.4538,3.5013
09800,000,10035200,3.4737,3.5014
09900,000,10137600,3.5047,3.4656
10000,000,10240000,3.4596,3.4639
10100,000,10342400,3.4863,3.4884
10200,000,10444800,3.4709,3.5039
10300,000,10547200,3.4862,3.5108
10400,000,10649600,3.4793,3.4730
10500,000,10752000,3.4747,3.4758
10600,000,10854400,3.4574,3.4754
10700,000,10956800,3.4785,3.4689
10800,000,11059200,3.4534,3.4895
10900,000,11161600,3.4274,3.4428
11000,000,11264000,3.4401,3.4848
11100,000,11366400,3.4616,3.4493
11200,000,11468800,3.4748,3.4356
11300,000,11571200,3.4396,3.4791
11400,000,11673600,3.4260,3.4563
11500,000,11776000,3.4655,3.4582
11600,000,11878400,3.4415,3.4629
11700,000,11980800,3.4470,3.4609
11800,000,12083200,3.4463,3.4418
11900,000,12185600,3.4232,3.4561
12000,000,12288000,3.4408,3.4536
12100,000,12390400,3.4385,3.4660
12200,000,12492800,3.4129,3.4606
12300,000,12595200,3.4102,3.4788
12400,000,12697600,3.4154,3.4391
12500,000,12800000,3.4172,3.4349
12600,000,12902400,3.4078,3.4575
12700,000,13004800,3.4463,3.4368
12800,000,13107200,3.4387,3.4252
12900,000,13209600,3.4518,3.4557
13000,000,13312000,3.4207,3.4252
13100,000,13414400,3.4270,3.4365
13200,000,13516800,3.4271,3.4339
13300,000,13619200,3.4569,3.4494
13400,000,13721600,3.4161,3.4506
13500,000,13824000,3.4354,3.4488
13600,000,13926400,3.4102,3.4309
13700,000,14028800,3.4158,3.4379
13800,000,14131200,3.4277,3.4283
13900,000,14233600,3.4337,3.4265
14000,000,14336000,3.4252,3.4450
14100,000,14438400,3.4073,3.4354
14200,000,14540800,3.4240,3.4311
14300,000,14643200,3.4105,3.4303
14400,000,14745600,3.4115,3.4081
14500,000,14848000,3.3922,3.4112
14600,000,14950400,3.4107,3.4222
14700,000,15052800,3.4057,3.4470
14800,000,15155200,3.4224,3.3828
14900,000,15257600,3.4095,3.4132
15000,000,15360000,3.3989,3.4230
15100,000,15462400,3.4119,3.4174
15200,000,15564800,3.3820,3.4044
15300,000,15667200,3.4524,3.4041
15400,000,15769600,3.4038,3.4282
15500,000,15872000,3.4169,3.4526
15600,000,15974400,3.3839,3.4124
15700,000,16076800,3.4052,3.4458
15800,000,16179200,3.4012,3.3932
15900,000,16281600,3.4228,3.4025
16000,000,16384000,3.3965,3.4397
16100,000,16486400,3.3890,3.4242
16200,000,16588800,3.3789,3.3918
16300,000,16691200,3.3725,3.4102
16400,000,16793600,3.4028,3.3871
16500,000,16896000,3.4051,3.3876
16600,000,16998400,3.3796,3.4028
16700,000,17100800,3.3934,3.3734
16800,000,17203200,3.3818,3.3978
16900,000,17305600,3.4055,3.4040
17000,000,17408000,3.3693,3.3994
17100,000,17510400,3.3843,3.4171
17200,000,17612800,3.4080,3.4180
17300,000,17715200,3.3593,3.3742
17400,000,17817600,3.3734,3.4137
17500,000,17920000,3.4083,3.3845
17600,000,18022400,3.3602,3.4036
17700,000,18124800,3.3850,3.3799
17800,000,18227200,3.3727,3.4090
17900,000,18329600,3.3599,3.3925
18000,000,18432000,3.3573,3.3749
18100,000,18534400,3.3436,3.4115
18200,000,18636800,3.3441,3.3614
18300,000,18739200,3.3626,3.3726
18400,000,18841600,3.3681,3.3748
18500,000,18944000,3.3772,3.3703
18600,000,19046400,3.3585,3.3595
18700,000,19148800,3.3410,3.3857
18800,000,19251200,3.3765,3.4125
18900,000,19353600,3.3464,3.3883
19000,000,19456000,3.3570,3.3707
19100,000,19558400,3.3898,3.3728
19200,000,19660800,3.3765,3.3996
19300,000,19763200,3.3741,3.3853
19400,000,19865600,3.3469,3.3722
19500,000,19968000,3.3541,3.3705
19600,000,20070400,3.3418,3.3990
19700,000,20172800,3.3822,3.3836
19800,000,20275200,3.3572,3.3829
19900,000,20377600,3.3575,3.3577
20000,000,20480000,3.3675,3.3622
20100,000,20582400,3.3320,3.4063
20200,000,20684800,3.3861,3.3527
20300,000,20787200,3.3301,3.3529
20400,000,20889600,3.3439,3.3762
20500,000,20992000,3.3716,3.3834
20600,000,21094400,3.3417,3.3498
20700,000,21196800,3.3417,3.3805
20800,000,21299200,3.3583,3.3981
20900,000,21401600,3.3645,3.3603
21000,000,21504000,3.3441,3.3798
21100,000,21606400,3.3618,3.3612
21200,000,21708800,3.3554,3.3722
21300,000,21811200,3.3412,3.3617
21400,000,21913600,3.3241,3.3778
21500,000,22016000,3.3350,3.3591
21600,000,22118400,3.3350,3.3593
21700,000,22220800,3.3513,3.3832
21800,000,22323200,3.3304,3.3312
21900,000,22425600,3.3420,3.3756
22000,000,22528000,3.3492,3.3549
22100,000,22630400,3.3628,3.3800
22200,000,22732800,3.3422,3.3543
22300,000,22835200,3.3452,3.3790
22400,000,22937600,3.3372,3.3262
22500,000,23040000,3.3499,3.3546
22600,000,23142400,3.3547,3.3696
22700,000,23244800,3.3019,3.3429
22800,000,23347200,3.3274,3.3456
22900,000,23449600,3.3389,3.3544
23000,000,23552000,3.3490,3.3400
23100,000,23654400,3.3002,3.3645
23200,000,23756800,3.3251,3.3206
23300,000,23859200,3.3150,3.3185
23400,000,23961600,3.3143,3.3314
23500,000,24064000,3.3254,3.3552
23600,000,24166400,3.3202,3.3628
23700,000,24268800,3.3373,3.3804
23800,000,24371200,3.3276,3.3795
23900,000,24473600,3.3110,3.3772
24000,000,24576000,3.3309,3.3537
24100,000,24678400,3.3173,3.3510
24200,000,24780800,3.3121,3.3438
24300,000,24883200,3.3188,3.3302
24400,000,24985600,3.3327,3.3347
24500,000,25088000,3.3244,3.3485
24600,000,25190400,3.3127,3.3192
24700,000,25292800,3.3122,3.3479
24800,000,25395200,3.3238,3.3381
24900,000,25497600,3.3293,3.3180
25000,000,25600000,3.3330,3.3545
25100,000,25702400,3.3278,3.3356
25200,000,25804800,3.2980,3.3287
25300,000,25907200,3.3317,3.3491
25400,000,26009600,3.3052,3.3680
25500,000,26112000,3.3600,3.3410
25600,000,26214400,3.3430,3.3454
25700,000,26316800,3.3248,3.3648
25800,000,26419200,3.3155,3.3548
25900,000,26521600,3.3011,3.3284
26000,000,26624000,3.3377,3.3184
26100,000,26726400,3.2929,3.3383
26200,000,26828800,3.3456,3.3390
26300,000,26931200,3.3433,3.3413
26400,000,27033600,3.3377,3.3050
26500,000,27136000,3.3105,3.3242
26600,000,27238400,3.3103,3.3290
26700,000,27340800,3.2903,3.3378
26800,000,27443200,3.2984,3.3338
26900,000,27545600,3.3269,3.3395
27000,000,27648000,3.2957,3.3197
27100,000,27750400,3.3223,3.3592
27200,000,27852800,3.3151,3.3284
27300,000,27955200,3.2848,3.3364
27400,000,28057600,3.3056,3.3382
27500,000,28160000,3.3023,3.3448
27600,000,28262400,3.3370,3.2989
27700,000,28364800,3.3096,3.3372
27800,000,28467200,3.3154,3.3419
27900,000,28569600,3.3239,3.3054
28000,000,28672000,3.3105,3.3234
28100,000,28774400,3.2831,3.3138
28200,000,28876800,3.2700,3.3289
28300,000,28979200,3.3117,3.3418
28400,000,29081600,3.3303,3.3410
28500,000,29184000,3.3321,3.3333
28600,000,29286400,3.2930,3.3235
28700,000,29388800,3.3221,3.3327
28800,000,29491200,3.3143,3.3068
28900,000,29593600,3.3024,3.3225
29000,000,29696000,3.3291,3.3279
29100,000,29798400,3.2898,3.3073
29200,000,29900800,3.2893,3.3319
29300,000,30003200,3.2996,3.3314
29400,000,30105600,3.3124,3.3289
29500,000,30208000,3.2752,3.3263
29600,000,30310400,3.3058,3.3023
29700,000,30412800,3.2660,3.3195
29800,000,30515200,3.2848,3.3095
29900,000,30617600,3.2981,3.2981
30000,000,30720000,3.2996,3.3415
30100,000,30822400,3.3209,3.2949
30200,000,30924800,3.3231,3.3014
30300,000,31027200,3.2909,3.3377
30400,000,31129600,3.2971,3.3034
30500,000,31232000,3.2869,3.3163
30600,000,31334400,3.2760,3.3174
30700,000,31436800,3.2977,3.2843
30800,000,31539200,3.3243,3.3193
30900,000,31641600,3.2775,3.3182
31000,000,31744000,3.2772,3.3090
31100,000,31846400,3.3125,3.3168
31200,000,31948800,3.2772,3.2903
31300,000,32051200,3.2810,3.2958
31400,000,32153600,3.3022,3.3227
31500,000,32256000,3.3028,3.2850
31600,000,32358400,3.2933,3.2971
31700,000,32460800,3.2818,3.3063
31800,000,32563200,3.2849,3.3097
31900,000,32665600,3.2847,3.3139
32000,000,32768000,3.3186,3.3235
32100,000,32870400,3.3039,3.3449
32200,000,32972800,3.2855,3.2965
32300,000,33075200,3.2811,3.3156
32400,000,33177600,3.2943,3.2754
32500,000,33280000,3.2792,3.3012
32600,000,33382400,3.2729,3.3019
32700,000,33484800,3.2849,3.3041
32800,000,33587200,3.2912,3.2652
32900,000,33689600,3.2471,3.3062
33000,000,33792000,3.2369,3.3162
33100,000,33894400,3.2849,3.3126
33200,000,33996800,3.2813,3.2905
33300,000,34099200,3.2676,3.3228
33400,000,34201600,3.2968,3.2793
33500,000,34304000,3.2482,3.2948
33600,000,34406400,3.2782,3.3102
33700,000,34508800,3.2869,3.3078
33800,000,34611200,3.2542,3.2837
33900,000,34713600,3.2754,3.3106
34000,000,34816000,3.2891,3.3128
34100,000,34918400,3.2907,3.2797
34200,000,35020800,3.2830,3.3265
34300,000,35123200,3.2596,3.2809
34400,000,35225600,3.2705,3.3019
34500,000,35328000,3.2811,3.3051
34600,000,35430400,3.2769,3.3315
34700,000,35532800,3.2656,3.2810
34800,000,35635200,3.2809,3.2815
34900,000,35737600,3.2716,3.2883
35000,000,35840000,3.2714,3.3079
35100,000,35942400,3.2476,3.3290
35200,000,36044800,3.2588,3.3236
35300,000,36147200,3.2680,3.2812
35400,000,36249600,3.2916,3.3157
35500,000,36352000,3.2666,3.2735
35600,000,36454400,3.2724,3.2513
35700,000,36556800,3.2827,3.2747
35800,000,36659200,3.2695,3.2788
35900,000,36761600,3.2942,3.2956
36000,000,36864000,3.3127,3.3002
36100,000,36966400,3.2679,3.2760
36200,000,37068800,3.2837,3.3058
36300,000,37171200,3.2711,3.2786
36400,000,37273600,3.2727,3.2809
36500,000,37376000,3.2552,3.3200
36600,000,37478400,3.2468,3.2842
36700,000,37580800,3.2754,3.3007
36800,000,37683200,3.2902,3.2902
36900,000,37785600,3.2706,3.2717
37000,000,37888000,3.2404,3.3135
37100,000,37990400,3.2666,3.2927
37200,000,38092800,3.2637,3.2943
37300,000,38195200,3.2864,3.2712
37400,000,38297600,3.2697,3.2856
37500,000,38400000,3.2687,3.2911
37600,000,38502400,3.2737,3.2555
37700,000,38604800,3.2731,3.2848
37800,000,38707200,3.2425,3.2701
37900,000,38809600,3.2454,3.2678
38000,000,38912000,3.2344,3.2731
38100,000,39014400,3.2613,3.2878
38200,000,39116800,3.2768,3.2663
38300,000,39219200,3.2637,3.2915
38400,000,39321600,3.2743,3.2576
38500,000,39424000,3.2441,3.2650
38600,000,39526400,3.2677,3.3104
38700,000,39628800,3.2541,3.2755
38800,000,39731200,3.2604,3.2889
38900,000,39833600,3.2534,3.2988
39000,000,39936000,3.2846,3.3055
39100,000,40038400,3.2510,3.2896
39200,000,40140800,3.2530,3.2747
39300,000,40243200,3.2712,3.2613
39400,000,40345600,3.2581,3.2790
39500,000,40448000,3.2542,3.2693
39600,000,40550400,3.2685,3.2894
39700,000,40652800,3.2676,3.2636
39800,000,40755200,3.2301,3.2980
39900,000,40857600,3.2730,3.2682
40000,000,40960000,3.2499,3.2854
40100,000,41062400,3.2823,3.2836
40200,000,41164800,3.2408,3.2775
40300,000,41267200,3.2722,3.2861
40400,000,41369600,3.2343,3.2633
40500,000,41472000,3.2271,3.2669
40600,000,41574400,3.2800,3.2790
40700,000,41676800,3.2411,3.2850
40800,000,41779200,3.2499,3.2850
40900,000,41881600,3.2266,3.2244
41000,000,41984000,3.2242,3.2646
41100,000,42086400,3.2645,3.2631
41200,000,42188800,3.2788,3.2284
41300,000,42291200,3.2410,3.2762
41400,000,42393600,3.2784,3.2872
41500,000,42496000,3.2586,3.2894
41600,000,42598400,3.2661,3.2436
41700,000,42700800,3.2103,3.3014
41800,000,42803200,3.2799,3.2571
41900,000,42905600,3.2558,3.2877
42000,000,43008000,3.2335,3.2758
42100,000,43110400,3.2608,3.2504
42200,000,43212800,3.2406,3.2777
42300,000,43315200,3.2284,3.3035
42400,000,43417600,3.2720,3.2804
42500,000,43520000,3.2470,3.2411
42600,000,43622400,3.2336,3.2787
42700,000,43724800,3.2367,3.2515
42800,000,43827200,3.2380,3.2800
42900,000,43929600,3.2906,3.2570
43000,000,44032000,3.2797,3.2679
43100,000,44134400,3.2465,3.2566
